日期,era,final盈亏,news门控盈亏,dual盈亏,macro降权门控盈亏,weather_v3代理盈亏,组合_v3盈亏,组合_无天气盈亏,组合日收益_3M,core保证金,新闻可用
2011-03-08,final_only,-1059.0,0.0,-1059.0,0.0,0.0,-1059.0,-1059.0,-0.000353,38078.0,0
2011-03-09,final_only,877.0,0.0,877.0,0.0,0.0,877.0,877.0,0.00029233333333333336,23521.0,0
2011-03-10,final_only,-870.0,0.0,-870.0,0.0,0.0,-870.0,-870.0,-0.00029,23417.0,0
2011-03-11,final_only,-5511.0,0.0,-5511.0,0.0,0.0,-5511.0,-5511.0,-0.001837,36363.0,0
2011-03-14,final_only,-3235.0,0.0,-3235.0,0.0,0.0,-3235.0,-3235.0,-0.0010783333333333333,35726.0,0
2011-03-15,final_only,271.0,0.0,271.0,0.0,0.0,271.0,271.0,9.033333333333334e-05,31708.0,0
2011-03-16,final_only,749.0,0.0,749.0,0.0,0.0,749.0,749.0,0.00024966666666666665,23360.0,0
2011-03-17,final_only,-600.0,0.0,-600.0,0.0,0.0,-600.0,-600.0,-0.0002,23276.0,0
2011-03-18,final_only,-206.0,0.0,-206.0,0.0,0.0,-206.0,-206.0,-6.866666666666666e-05,18875.0,0
2011-03-21,final_only,-898.0,0.0,-898.0,0.0,0.0,-898.0,-898.0,-0.0002993333333333333,35861.0,0
2011-03-22,final_only,-231.0,0.0,-231.0,0.0,0.0,-231.0,-231.0,-7.7e-05,29196.0,0
2011-03-23,final_only,386.0,0.0,386.0,0.0,0.0,386.0,386.0,0.00012866666666666666,33068.0,0
2011-03-24,final_only,-1705.0,0.0,-1705.0,0.0,0.0,-1705.0,-1705.0,-0.0005683333333333333,28911.0,0
2011-03-25,final_only,-1480.0,0.0,-1480.0,0.0,0.0,-1480.0,-1480.0,-0.0004933333333333334,46634.0,0
2011-03-28,final_only,132.0,0.0,132.0,0.0,0.0,132.0,132.0,4.4e-05,25951.0,0
2011-03-29,final_only,67.0,0.0,67.0,0.0,0.0,67.0,67.0,2.2333333333333332e-05,17746.0,0
2011-03-30,final_only,-110.0,0.0,-110.0,0.0,0.0,-110.0,-110.0,-3.6666666666666666e-05,17691.0,0
2011-03-31,final_only,2676.0,0.0,2676.0,0.0,0.0,2676.0,2676.0,0.000892,34959.0,0
2011-04-01,final_only,648.0,0.0,648.0,0.0,0.0,648.0,648.0,0.000216,26114.0,0
2011-04-06,final_only,-516.0,0.0,-516.0,0.0,0.0,-516.0,-516.0,-0.000172,33011.0,0
2011-04-07,final_only,-1485.0,0.0,-1485.0,0.0,0.0,-1485.0,-1485.0,-0.000495,35396.0,0
2011-04-08,final_only,-616.0,0.0,-616.0,0.0,0.0,-616.0,-616.0,-0.00020533333333333333,27062.0,0
2011-04-11,final_only,-1105.0,0.0,-1105.0,0.0,0.0,-1105.0,-1105.0,-0.00036833333333333336,26522.0,0
2011-04-12,final_only,730.0,0.0,730.0,0.0,0.0,730.0,730.0,0.00024333333333333333,19262.0,0
2011-04-13,final_only,830.0,0.0,830.0,0.0,0.0,830.0,830.0,0.00027666666666666665,19184.0,0
2011-04-14,final_only,-880.0,0.0,-880.0,0.0,0.0,-880.0,-880.0,-0.0002933333333333333,19059.0,0
2011-04-15,final_only,1039.0,0.0,1039.0,0.0,0.0,1039.0,1039.0,0.0003463333333333333,21550.0,0
2011-04-18,final_only,198.0,0.0,198.0,0.0,0.0,198.0,198.0,6.6e-05,17253.0,0
2011-04-19,final_only,-949.0,0.0,-949.0,0.0,0.0,-949.0,-949.0,-0.00031633333333333334,33638.0,0
2011-04-20,final_only,-707.0,0.0,-707.0,0.0,0.0,-707.0,-707.0,-0.00023566666666666666,41001.0,0
2011-04-21,final_only,-2399.0,0.0,-2399.0,0.0,0.0,-2399.0,-2399.0,-0.0007996666666666666,33426.0,0
2011-04-22,final_only,2428.0,0.0,2428.0,0.0,0.0,2428.0,2428.0,0.0008093333333333333,34809.0,0
2011-04-25,final_only,99.0,0.0,99.0,0.0,0.0,99.0,99.0,3.3e-05,29130.0,0
2011-04-26,final_only,3959.0,0.0,3959.0,0.0,0.0,3959.0,3959.0,0.0013196666666666667,41173.0,0
2011-04-27,final_only,955.0,0.0,955.0,0.0,0.0,955.0,955.0,0.00031833333333333334,40685.0,0
2011-04-28,final_only,1598.0,0.0,1598.0,0.0,0.0,1598.0,1598.0,0.0005326666666666666,35976.0,0
2011-04-29,final_only,-1178.0,0.0,-1178.0,0.0,0.0,-1178.0,-1178.0,-0.00039266666666666665,22676.0,0
2011-05-03,final_only,4058.0,0.0,4058.0,0.0,0.0,4058.0,4058.0,0.0013526666666666667,35398.0,0
2011-05-04,final_only,5638.0,0.0,5638.0,0.0,0.0,5638.0,5638.0,0.0018793333333333333,28246.0,0
2011-05-05,final_only,-2800.0,0.0,-2800.0,0.0,0.0,-2800.0,-2800.0,-0.0009333333333333333,27490.0,0
2011-05-06,final_only,-1960.0,0.0,-1960.0,0.0,0.0,-1960.0,-1960.0,-0.0006533333333333333,23005.0,0
2011-05-09,final_only,-1284.0,0.0,-1284.0,0.0,0.0,-1284.0,-1284.0,-0.000428,20679.0,0
2011-05-10,final_only,-193.0,0.0,-193.0,0.0,0.0,-193.0,-193.0,-6.433333333333333e-05,29071.0,0
2011-05-11,final_only,4451.0,0.0,4451.0,0.0,0.0,4451.0,4451.0,0.0014836666666666668,42265.0,0
2011-05-12,final_only,-891.0,0.0,-891.0,0.0,0.0,-891.0,-891.0,-0.000297,31014.0,0
2011-05-13,final_only,1158.0,0.0,1158.0,0.0,0.0,1158.0,1158.0,0.000386,22536.0,0
2011-05-16,final_only,-753.0,0.0,-753.0,0.0,0.0,-753.0,-753.0,-0.000251,29118.0,0
2011-05-17,final_only,103.0,0.0,103.0,0.0,0.0,103.0,103.0,3.433333333333333e-05,33952.0,0
2011-05-18,final_only,-86.0,0.0,-86.0,0.0,0.0,-86.0,-86.0,-2.8666666666666668e-05,34681.0,0
2011-05-19,final_only,-382.0,0.0,-382.0,0.0,0.0,-382.0,-382.0,-0.00012733333333333333,23248.0,0
2011-05-20,final_only,322.0,0.0,322.0,0.0,0.0,322.0,322.0,0.00010733333333333333,21002.0,0
2011-05-23,final_only,-63.0,0.0,-63.0,0.0,0.0,-63.0,-63.0,-2.1e-05,32150.0,0
2011-05-24,final_only,-491.0,0.0,-491.0,0.0,0.0,-491.0,-491.0,-0.00016366666666666667,29739.0,0
2011-05-25,final_only,-1670.0,0.0,-1670.0,0.0,0.0,-1670.0,-1670.0,-0.0005566666666666667,29753.0,0
2011-05-26,final_only,-297.0,0.0,-297.0,0.0,0.0,-297.0,-297.0,-9.9e-05,42839.0,0
2011-05-27,final_only,817.0,0.0,817.0,0.0,0.0,817.0,817.0,0.00027233333333333336,40655.0,0
2011-05-30,final_only,-259.0,0.0,-259.0,0.0,0.0,-259.0,-259.0,-8.633333333333334e-05,29454.0,0
